Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2019,250171,The Heritage at Millennium Park,Submitted,130 N Garland Ct,60602,"1,0",false,LOOP,Multifamily Housing,927.832,2005,1,,21,51.571.527,"14.842.599,8",,,,"71,6",,,,,,"41,884349","-87,625379","(41.884349, -87.625379)",2019-250171
2019,251221,211 W Wacker Dr,Submitted,211 W Wacker Dr,60606,"4,0",false,LOOP,Office,188.368,1927,1,,77,"6.306.498,5","9.202.319,9",,,,"82,3",145,"81,3",,1.538,"8,2","41,88651302","-87,63456426","(41.88651302, -87.63456426)",2019-251221
2019,251242,330 N Clinton,Submitted,330 N Clinton St,60606,"4,0",false,NEAR WEST SIDE,,,,,,90,"1.366.946,1","2.642.565,6",,,,"62,8","103,5","61,4",,,,"41,88778801","-87,64178715","(41.88778801, -87.64178715)",2019-251242
2019,251269,Century Tower,Submitted,182 W Lake St,60601,"3,5",false,LOOP,Multifamily Housing,255.605,1930,1,6.067,57,"6.880.424,2","13.098.369,9",,,,"78,2","129,2","77,6",,"1.840,4","7,2","41,885758","-87,633762","(41.885758, -87.633762)",2019-251269
2019,251341,The Legacy at Millennium Park,Submitted,60 E Monroe St,60603,"1,0",false,LOOP,Multifamily Housing,815.605,2009,1,,22,37.583.453,"11.161.033,2",,"16.293.662,8",,"79,7","161,6","78,8",,,,"41,880821","-87,62572","(41.880821, -87.62572)",2019-251341
2019,252065,280 S Columbus Dr,Submitted,280 S Columbus Dr,60603,"1,0",false,LOOP,College/University,142.184,1973,1,,,"6.697.421,6","17.404.594,6",,"5.326.680,1",,207,"294,5","204,9",,"2.319,4","16,3","41,8787345","-87,62080493","(41.8787345, -87.62080493)",2019-252065
2019,252066,The Park Monroe Condominium Homes Association,Submitted,65 E Monroe St,60603,"1,5",false,LOOP,Multifamily Housing,480.820,2009,1,,32,"21.452.714,6","4.355.298,3",,,,"53,7",,,,,,"41,880771","-87,625598","(41.880771, -87.625598)",2019-252066
2019,252068,Hampton Inn Majestic,Submitted,22 W Monroe St,60603,"3,0",false,LOOP,Hotel,70.265,1906,,,65,"3.449.910,7",2.433.411,,,,"83,7",,,,,,"41,880768","-87,628592","(41.880768, -87.628592)",2019-252068
2019,252107,Harris Theater for Music and Dance,Submitted,205 E Randolph St,60601,"4,0",false,LOOP,Performing Arts,140.160,2003,1,,,"5.121.145,9",,,"1.411.835,9",,"46,6","111,5",46,,"926,4","6,6","41,88401355","-87,62179601","(41.88401355, -87.62179601)",2019-252107
2019,252125,La Quinta Inn & Suites,Submitted,1 S Franklin St,60606,"1,0",false,LOOP,Hotel,140.633,2009,1,,10,"7.433.280,8","15.986.515,2",,,,"186,9",,,,,,"41,88154158","-87,63527411","(41.88154158, -87.63527411)",2019-252125
2019,253962,Moser Building Condominium Association,Submitted,621 S Plymouth Ct,60604,"4,0",false,Loop,,,,,,99,"1.774.028,5","4.246.203,8",,,,"41,6","65,2","40,3",,,,"41,8684207","-87,62414082","(41.8684207, -87.62414082)",2019-253962
2019,253967,Twenty N. State Condominium Association,Submitted,20 N State St,60602,"3,0",false,Loop,,,,,,63,6.448.564,"9.791.464,2",,,,"76,7","133,9","75,1",,,,"41,8833006","-87,62933043","(41.8833006, -87.62933043)",2019-253967
2019,254361,Mila Chicago,Submitted,201 N GARLAND CT,60601,"4,0",false,Loop,Multifamily Housing,514.060,2016,1,,89,11.010.135,14.581.705,,,,"49,8",,,,,,"41,8858198","-87,62537143","(41.8858198, -87.62537143)",2019-254361
2019,254364,Hyatt Place Chicago,Submitted,28 N FRANKLIN ST,60606,"3,5",false,Loop,Hotel,142.321,2015,1,,53,"5.540.262,3","11.856.799,6",,,,"122,2",,,,,,"41,88319104","-87,63527825","(41.88319104, -87.63527825)",2019-254364
2019,254367,GEMS World Academy Chicago,Submitted,350 E SOUTH WATER ST,60601,"4,0",false,Loop,K-12 School,80.500,2014,1,,100,"25.358,5","39.427,7",,255.876,,4,"4,3",4,,,,"41,8858198","-87,62537143","(41.8858198, -87.62537143)",2019-254367
2019,256076,Left Bank at K Station,Submitted,300 N Canal Street,60606,"3,5",false,NEAR WEST SIDE,Multifamily Housing,453.153,2006,1,,75,"9.434.985,2","25.963.361,9",,,,"78,1","118,5","76,2",,"2.948,7","6,5","41,88198898","-87,63516","(41.88198898, -87.63516)",2019-256076
