Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2023,101813,150 North Michigan,Submitted,150 North Michigan Avenue,60601,"3,5",,Loop,Office,708.981,1984,1,,75,"29.044.493,7","9.768,4",,,,41,"114,7","44,3",124,"4.064,4","5,7","41,798029","-87,602463",POINT (-87.602463 41.798029),2023-101813
2023,103664,Northern Trust HeadOuarters,Submitted,50 S. Lasalle,60603,"4,0",,Loop,Financial Office,584.000,1963,1,3.258,74,"21.253.850,4","16.626.013,8",,,,"64,9","131,8","70,1","137,1","3.856,9","6,6","41,939776","-87,638654",POINT (-87.638654 41.939776),2023-103664
2023,101736,71 South Wacker,Submitted,71 S. Wacker Drive,60606,"4,0",,Loop,Office,1.684.534,2005,1,,88,"68.805.585,3","533.177,8",,,,"41,2","114,7","44,8",125,"9.655,6","5,7","41,923922","-87,657347",POINT (-87.657347 41.923922),2023-101736
2023,103677,150 North Riverside Plaza,Submitted,150 N. Riverside Plaza,60606,"4,0",,Near West Side,Office,1.487.050,2017,1,,68,"63.680.212,9","1.611.198,7",,"29.192.878,4",,"63,5","138,9","65,5","146,4","10.534,2","7,1","41,921225","-87,637998",POINT (-87.637998 41.921225),2023-103677
2023,251242,330 N Clinton Condo Assoc,Submitted,330 N Clinton St,60606,"4,0",,Near West Side,Multifamily Housing,63.803,2000,1,,91,"1.201.951,4","2.437.673,4",,,,57,"92,9","62,5","98,2","297,7","4,7","41,956676","-87,786749",POINT (-87.786749 41.956676),2023-251242
2023,103696,111 South Wacker,Submitted,111 South Wacker,60606,"3,5",,Loop,Office,1.248.730,2004,1,14.952,72,"70.803.779,1",,,,,"56,7","158,8","56,7","158,8","9.906,8","7,9","41,930448","-87,639442",POINT (-87.639442 41.930448),2023-103696
2023,250171,The Heritage at Millennium Park,Submitted,130 North Garland Court,60602,"1,5",,Loop,Multifamily Housing,933.106,2005,1,,32,"43.677.613,5","13.415.790,7",,,,"61,2","146,2","66,7","158,9","6.823,9","7,3","41,89853","-87,621777",POINT (-87.621777 41.89853),2023-250171
2023,257173,24 East Washington Street,Submitted,24 East Washington Street,60602,"4,0",,Loop,Office,707.816,2020,0,872,94,"7.017.333,7","12.330.899,6",,"9.992.472,4",,"41,5","58,9","43,5","61,2","2.163,4","3,1","41,883448","-87,626994",POINT (-87.626994 41.883448),2023-257173
2023,101827,Burnham Center,Submitted,111 West Washington,60602,"3,5",,Loop,Office,597.773,1914,1,,78,"19.972.952,7","24.817.847,9",,,,"74,9","137,1","81,5","143,8","4.112,8","6,9","41,884596","-87,628795",POINT (-87.628795 41.884596),2023-101827
2023,158414,Old Republic Building,Submitted,301 317 N. Michigan Ave.,60601,"3,5",,Loop,Office,219.636,1925,1,4.206,77,"6.393.611,1","8.986.060,1",,,,70,"124,5","76,1","131,8","1.371,9","6,2","41,889384","-87,765039",POINT (-87.765039 41.889384),2023-158414
2023,250137,Club Ouarters East Wacker Drive,Submitted,75 East Wacker Drive,60601,"2,0",,Loop,Hotel,178.845,1928,1,,49,6.611.497,"13.197.000,1",,,,"110,8",181,"117,2","187,4",1.626,"9,1","41,791088","-87,601149",POINT (-87.601149 41.791088),2023-250137
2023,101731,175 W. Jackson,Submitted,175 W. Jackson,60604,"4,0",,Loop,Office,1.809.140,1928,1,7.179,79,"42.299.267,8",37.583.922,,"28.019.232,2",,"59,6","101,4","62,6","104,7","9.391,4","5,2","41,922791","-87,653377",POINT (-87.653377 41.922791),2023-101731
2023,101871,123 N Wacker,Submitted,123 N Wacker,60606,"3,5",,Loop,Office,555.996,1986,1,3,73,"24.212.053,4",,,,,"43,5","121,9","46,3","129,8","3.387,7","6,1","41,88779","-87,621279",POINT (-87.621279 41.88779),2023-101871
2023,256568,Vista Tower,Not Submitted,363 E Wacker Dr,60601,"0,0",,Loop,,,,,,,,,,,,,,,,,,"41,67812","-87,662639",POINT (-87.662639 41.67812),2023-256568
2023,101799,200 South Wacker Property LLC,Submitted,200 South Wacker Drive,60606,"3,0",,Loop,Office,843.070,1981,1,,67,"43.220.220,1",,,,,"51,3","143,5","55,6","155,7","6.047,4","7,2","41,893857","-87,635796",POINT (-87.635796 41.893857),2023-101799
2023,250144,11 East Adams LLC,Submitted,11 East Adams,60603,"3,5",,Loop,Office,161.166,1961,1,,58,"5.471.756,9","10.746.221,4",,,,"100,6","165,1","117,5",185,"1.336,4","8,3",41.8793,-87.6275,POINT (-87.6275 41.8793),2023-250144
2023,101742,James R Thompson Center,Not Covered 2024,100 W Randolph St,60601,,true,Loop,Office,,,,,,,,,,,,,,,,,"41,683992","-87,725017",POINT (-87.725017 41.683992),2023-101742
2023,250141,180 N Wacker Dr,Not Submitted,180 N Wacker Dr,60606,"0,0",,Loop,Office,,,,,,,,,,,,,,,,,"41,805576","-87,620123",POINT (-87.620123 41.805576),2023-250141
2023,101878,200 West Jackson Boulevard Building,Submitted,200 West Jackson Blvd.,60606,"3,5",,Loop,Office,534.330,1971,1,,71,12.535.612,"26.381.418,5",,"7.982.928,2",,"87,8","131,1","94,1","137,9","3.575,9","6,7","41,88321","-87,649973",POINT (-87.649973 41.88321),2023-101878
2023,256893,(IL494) - Cirrus Condominium (211 N Harbor Dr ),Submitted,211 N Harbor Dr,60601,"4,0",,Loop,Multifamily Housing,572.929,2021,1,,83,"15.021.433,7",17.091.251,,,,"56,1","104,7","61,2","110,7","3.009,6","5,3","41,770939","-87,666559",POINT (-87.666559 41.770939),2023-256893
2023,101717,55 East Monroe Office,Submitted,55 East Monroe Street,60603,"3,0",,Loop,Office,1.609.901,1972,1,,67,"78.147.999,4","652.106,5",,"29.540.806,5",,"67,3",153,"70,1","162,6","12.525,9","7,8","41,867398","-87,622701",POINT (-87.622701 41.867398),2023-101717
2023,101987,20 South Clark,Submitted,20 S Clark St,60602,"3,0",,Loop,Office,464.592,1970,1,2.695,66,"22.918.549,7",,,,,"49,3","138,1","53,4","149,4","3.206,8","6,9","41,875785","-87,626706",POINT (-87.626706 41.875785),2023-101987
2023,101943,303 West Madison,Submitted,303 West Madison,60606,"4,0",,Loop,Office,345.450,1987,1,2.348.112,79,"17.140.527,7",,,,,"49,6","138,9","52,9","148,2","2.398,3","6,9","41,75422","-87,670965",POINT (-87.670965 41.75422),2023-101943
2023,173612,Bell Federal Building,Not Submitted,79 W Monroe St,60603,"0,0",,Loop,Office,,,,,,,,,,,,,,,,,"41,914334","-87,634661",POINT (-87.634661 41.914334),2023-173612
2023,106618,215 WEST - LPC,Submitted,215 W Washington St,60606,"1,0",,Loop,Multifamily Housing,387.000,2010,1,,21,"16.281.281,7",14.851.398,,,,"80,4","158,1","87,4","169,6","3.066,9","7,9","41,966528","-87,651719",POINT (-87.651719 41.966528),2023-106618
2023,101737,100 North Riverside Plaza,Submitted,100 N Riverside Plaza,60606,,true,Near West Side,Office,874.519,1990,1,4.567,,"18.292.661,2","228.595,2",,,,"21,2","58,9","21,2","58,9","2.575,9","2,9","41,903949","-87,635489",POINT (-87.635489 41.903949),2023-101737
2023,103645,203 North LaSalle,Submitted,203 N Lasalle Street,60601,"3,5",,Loop,Office,624.735,1985,1,4.477,76,"33.719.858,9","624.066,3",,,,55,"152,2",58,"160,5","4.751,2","7,6","41,932902","-87,636373",POINT (-87.636373 41.932902),2023-103645
2023,253962,Moser Building Condominium Association,Submitted,621 S. Plymouth Ct.,60604,"4,0",,Loop,Multifamily Housing,144.649,1915,1,,98,"1.887.151,9",3.517.846,,,,"37,4","62,1","41,6","66,3","450,9","3,1","41,955549","-87,683802",POINT (-87.683802 41.955549),2023-253962
2023,251341,The Legacy at Millennium Park,Submitted,60 East Monroe St,60603,"1,5",,Loop,Multifamily Housing,815.605,2009,1,,32,25.696.725,"21.687.474,8",,"19.651.993,2",,"82,2","138,1","85,4","145,8",,,"41,835976","-87,611541",POINT (-87.611541 41.835976),2023-251341
2023,133858,Cassidy Tire,Not Covered 2024,344 N Canal St,60606,,true,Near West Side,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,,,,,,,,,,,,,,,,"41,906848","-87,627373",POINT (-87.627373 41.906848),2023-133858
2023,159524,North Harbor Tower (nr021),Submitted,175 N Harbor Dr,60601,"2,5",,Loop,Multifamily Housing,767.892,1989,1,26.641,31,"36.444.966,1",9.304.213,,,,"59,6","145,6","64,7","159,7","5.593,6","7,3","41,884616","-87,636682",POINT (-87.636682 41.884616),2023-159524
2023,241767,340 on the Park,Submitted,340 East Randolph Street,60601,"1,0",,Loop,Multifamily Housing,801.566,2007,1,,25,37.989.914,"8.694.999,8",,,,"58,2","144,1","63,5","157,8","5.777,4","7,2","41,932992","-87,640792",POINT (-87.640792 41.932992),2023-241767
2023,256782,110 North Wacker Drive - Bank of America Tower,Submitted,110 N. Wacker Drive,60606,"3,0",,Loop,Office,1.731.460,2020,1,10.015,66,"69.500.192,2",,,"41.038.429,5",,"63,8",134,65,"139,4","11.887,2","6,9","41,850821","-87,635133",POINT (-87.635133 41.850821),2023-256782
2023,101923,311 West Monroe,Submitted,311 West Monroe,60606,"3,5",,Loop,Office,425.816,1969,1,,80,15.317.257,2.253.152,,,,"41,3","106,3","42,6","107,7","2.262,9","5,3","41,888887","-87,631199",POINT (-87.631199 41.888887),2023-101923
2023,101834,One North Franklin (PNC Center),Submitted,1 N. Franklin,60606,"3,0",,Loop,Office,716.245,1991,1,3.452,70,"31.455.982,2",,,,,"43,9",123,47,"131,7","4.401,3","6,1",41.882,-87.6352,POINT (-87.6352 41.882),2023-101834
2023,101788,333 West Wacker,Submitted,333 West Wacker Drive,60606,"4,0",,Loop,Office,1.012.961,1982,1,8.618,77,"48.269.182,4",,,,,"47,7","133,5",50,"139,9","6.756,8","6,7","41,911468","-87,633007",POINT (-87.633007 41.911468),2023-101788
2023,158224,The Shoreham at Lakeshore East (sh324),Submitted,400 E South Water St,60601,"4,0",,Loop,Multifamily Housing,573.940,2005,1,21.900,64,"12.548.461,9","25.657.899,6",,,,"66,6","108,2","71,5","112,9","3.118,6","5,4","41,883251","-87,627723",POINT (-87.627723 41.883251),2023-158224
2023,101766,181 West Madison,Submitted,181 W Madison Street,60602,"3,5",,Loop,Office,1.082.248,1990,1,8.126,76,58.608.276,,,,,"54,2","151,7","56,6","158,3","8.205,6","7,6","41,878659","-87,688939",POINT (-87.688939 41.878659),2023-101766
2023,166787,St. Peter's Church,Not Submitted,110 W Madison St,60602,"0,0",,Loop,Worship Facility,,,,,,,,,,,,,,,,,"41,886687","-87,647651",POINT (-87.647651 41.886687),2023-166787
2023,101969,Chicago Temple Building,Submitted,77 W. Washington,60602,"3,0",,Loop,Office,238.531,1924,1,151.504,65,"7.339.592,2","10.126.939,7",,,,"73,2","130,7",80,"137,9","1.564,8","6,6","41,698715","-87,533013",POINT (-87.533013 41.698715),2023-101969
2023,156536,"Sunshine Enterprise, LLC Series V (228 S Wabash)",Submitted,228 South Wabash,60604,"3,0",,Loop,Office,64.630,1930,1,171,69,"3.050.738,8",,,,,"47,2","132,2","47,2","132,2","426,9","6,6","41,948684","-87,64365",POINT (-87.64365 41.948684),2023-156536
